编号	中文名	日文名	英文名	图鉴说明	详情	宝可梦
1	绿色的草丛	緑の草むら	Tall Grass	4块紧挨的绿色草组成的草丛。正适合小型宝可梦藏身。	绿色草×4	妙蛙种子,普通,全部|小火龙,普通,全部|杰尼龟,普通,全部|小拳石,普通,空空镇|走路草,普通,全部|喷火龙,超稀有,全部
2	树荫的草丛	木かげの草むら	Tree-shaded tall grass	树荫下的草丛，白天也很凉爽。宝可梦说不定会过来休息片刻。	大树（任意）×1|绿色草×4	飞天螳螂,普通,全部|巨钳螳螂,普通,空空镇|凯罗斯,稀有,全部|喇叭芽,普通,全部|贪心栗鼠,普通,空空镇|赫拉克罗斯,稀有,全部
3	岩影的草丛	岩かげの草むら	Boulder-shaded Tall Grass	巨大岩石阴影里的草丛。非常适合捉迷藏。	绿色草×4|大石头×1	搬运小匠,普通,全部|腕力,普通,空空镇|铁骨土人,稀有,全部
4	湿润的草丛	うるおう草むら	Hydrated tall grass	生长在水边的小草丛。总是水灵灵的，生机勃勃。	绿色草×4|水×2	杰尼龟,普通,全部|黏美儿,普通,全部|水箭龟,超稀有,全部|古月鸟,普通,空空镇|卡咪龟,稀有,全部
5	海浪边的草丛	波打ちぎわの草むら	Seaside Tall Grass	在含有盐分的水边也能预强生长的草丛。能缓解海边的炎热。	绿色草×4|海水×2	呆呆兽,普通,全部|呆壳兽,超稀有,全部|呆呆王,超稀有,全部
6	高岗的草丛	高台の草むら	Elevated tall grass	生长在高处，环境十分凉爽。一阵阵风直吹进草丛深处。	绿色草×4|高处×1	波波,普通,全部|比比鸟,稀有,全部|咕咕,普通,全部|猫头夜鹰,稀有,全部
7	光照的草丛	照らされた草むら	Illuminated tall grass	微光照射下的草丛。柔和的光线会引来宝可梦。	草（任意）×4|照明（任意）×1	毛球,普通,全部|摩鲁蛾,稀有,全部
8	美丽的花田	きれいな花畑	Pretty flower bed	缘草地的花组成的美丽花田。弥漫着一股淡淡的甜香。	草地的花×4	波波,普通,全部|三蜜蜂,普通,全部|伊布,普通,全部|咕咕,普通,全部|鸭嘴宝宝,普通,空空镇|比比鸟,稀有,全部
9	树荫的花田	木かげの花畑	Tree-shaded flower bed	在树荫下依然美丽绽放的花朵。湿润的芬芳会引来宝可梦。	树果树（任意）×1|草地的花×4	黏黏宝,普通,全部|梦歌仙人掌,稀有,全部|锹农炮虫,稀有,空空镇
10	湿润的花田	うるおう花畑	Hydrated flower bed	水边盛开的花田。清澈的水流和花香似乎会引来宝可梦。	草地的花×4|水×2	电萤虫,稀有,全部|甜甜萤,稀有,全部
11	整片的花海	花いっぱいの景色	Field of Flowers	广阔的花田。馥郁的芬芳弥漫四周。	草地的花×8	蜂女王,普通,全部|妙蛙草,稀有,全部|妙蛙花,稀有,全部
12	高岗的花田	高台の花畑	Elevated flower bed	在高处盛开的繁花。甜美的花香随风飘散。	草地的花×4|高处×1	派拉斯,普通,全部|派拉斯特,稀有,全部
13	花朵围绕的墓地	花に囲まれたお墓	Grave with flowers	柔和而华美的氛围，睡在墓中的宝可梦也会开心吧。	草地的花×4|墓碑×1	卡拉卡拉,普通,全部|嘎啦嘎啦,稀有,全部
14	庭园	フラワーガーデン	Flower garden	为繁花盛开的花日加上花篱，一下就成了一个小庭园。	花篱（任意）×4|草地的花×4	派拉斯,普通,全部|派拉斯特,稀有,全部
15	新鲜蔬菜田	フレッシュ野菜畑	Fresh Veggie Field	广阔的田里种植着蔬菜。喜欢农活的宝可梦可能会前来。	菜田（任意）×8	螺钉地鼠,普通,全部|木木枭,普通,空空镇|龙头地鼠,稀有,全部
16	乘着暖风	あたたかな風に乗って	Riding warm updrafts	3个火维加热后的空气悠然飘向高空。	火堆×3	飘飘球,普通,全部
17	露营组合	キャンプセット	Campsite	融入自然的露营组合。宝可梦们也会在火堆前取暖。	火堆×1|干草桌子×1|干草凳子×1	火恐龙,普通,全部
18	修行瀑布	修行の滝	Training waterfall	瀑布的冲打会让身心振奋。喜欧锻炼的宝可梦可能会来。	椅子（任意）×1|水×2|瀑布×1	无畏小子,普通,全部
19	饿肚肚用餐处	腹ペコダイニング	Tantalizing dining set	椅子和桌子，再摆上一个盘子。肚子饿的宝可梦说不定会过来。	椅子（任意）×1|桌子（任意）×1|装盘的食物×1	溶食兽,普通,干巴巴荒野的城镇
20	野餐氛围桌	ピクニックな食卓	Picnic Set	在桌上放个野餐篮，感觉就像在野餐样。	椅子（任意）×2|桌子（任意）×1|野餐篮×1	皮丘,普通,干巴巴荒野的城镇|皮卡丘-1,稀有,空空镇
21	华丽的桌子	はなやかな机	Flowery table	桌上摆着花瓶。宝可梦或许也会坐在椅子上赏花。	椅子（任意）×1|桌子（任意）×1|单枝花瓶×1	口呆花,稀有,全部|大食花,超稀有,全部
22	绿色的长椅	緑のベンチ	Bench with greenery	花篱旁的长椅。宝可梦也能感受着自然稍作歇息。	花篱（任意）×2|椅子（长）×1	妙蛙种子,普通,全部|妙蛙草,稀有,全部|巨蔓藤-1,普通,云岛
23	光照的长椅	照らされたベンチ	Illuminated bench	柔和灯光下的椅子。宝可梦说不定会被光亮吸引过来。	椅子（长）×1|路灯（任意）×1	毛球,普通,全部|摩鲁蛾,稀有,全部
24	健身区休息处	ジムの休けい所	Exercise resting spot	在激烈的训练后，宝可梦们也会坐在椅子上休息。	沙袋×1|椅子（任意）×1	快拳郎,普通,全部
25	紧急救护站	かけこみ救急所	Urgent Care	受伤时要立即进行应急处理。擅长疗愈的宝可梦说不定会来帮忙。	椅子（任意）×1|桌子（任意）×1|急救箱×1	飞腿郎,普通,全部
26	健身区救护处	ジムの救急所	Gym first aid	如果运动时受伤了，宝可梦们也会用急救箱进行应急处理。	桌子（任意）×1|沙袋×1|急救箱×1	战舞郎,普通,全部
27	指路牌	道案内のカンバン	Road Sign	孤零零地立在路中央的牌子。宝可梦或许会朝着箭头方向前进。	箭头指示牌×1|木板路×3	无壳海兔,普通,全部|无壳海兔-1,普通,全部
